fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231123 183210	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	424	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.144390978662996	0.777768208131165	215	25172	4686	74066765.6171914	1
20231123 183322	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	787	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.11429446345137	0.64939600986545	757	31539	4529	72984816.091954	2
20231123 183434	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	643	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.179704712308012	0.288171283861157	304	29647	4874	72283399.3003498	3
20231123 183645	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1670	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.224468856398016	0.358524468524265	516	46082	5698	72441576.2118941	4
20231123 183733	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	258	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.195978027176461	0.587053685378778	416	23053	4461	73219156.9215392	5
20231123 183838	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	771	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.161426564808353	0.189181794041651	790	43464	4514	71240360.8195902	6
20231123 184005	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	549	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.058029719174956	0.452152599243709	612	20039	4199	74339653.6731634	7
20231123 184109	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	473	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.295344249428599	0.541179783033294	665	36269	4072	71170542.7286357	8
20231123 184315	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	180	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0787824067816837	0.693080191510235	849	1945	5654	73701940.029985	9
20231123 184707	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1928	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0280199143651407	0.250919924952032	78	7729	5378	73937708.145927	10
20231123 184829	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	910	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0998856591968797	0.977963067230303	575	40474	4381	71753249.8750625	11
20231123 184915	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	73	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.272497323336429	0.857876083078445	67	13945	4095	74429012.9935032	12
20231123 185130	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1502	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0486363680631621	0.0765921384183457	976	12282	5605	72120342.3288356	13
20231123 185238	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	614	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.253454605706502	0.0490259727480589	352	4326	4267	71658356.3218391	14
20231123 185333	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	247	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.233328907422256	0.879250114493479	940	18644	4371	75803419.7901049	15
20231123 185512	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	941	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.127868566588149	0.436334156510566	187	49878	5608	72337083.4582709	16
20231123 185557	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	116	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.209490340800733	0.861989727515198	1024	13666	4281	74436898.0509745	17
20231123 185707	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	481	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0967433737269589	0.862678263434784	712	18773	4367	74490190.4047976	18
20231123 185753	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	209	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.277603046812023	0.880326479229483	857	19954	4804	74893339.3303348	19
20231123 185839	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	214	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.175382322486877	0.879507018910984	942	18542	4882	74911397.3013493	20
20231123 185926	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	360	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.232892550863778	0.886138344884231	949	29822	5113	73472948.025987	21
20231123 190034	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	350	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.233407562572158	0.56966293972458	938	20592	4759	73642942.0289855	22
20231123 190118	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	187	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.280002940385689	0.898427504961312	391	28224	5218	72764954.5227386	23
20231123 190457	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2528	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0363087101767984	0.222728061866936	675	25443	4155	73404235.3823088	24
20231123 190550	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	387	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0740349818474418	0.65515293722942	229	42939	5449	71871532.7336332	25
20231123 190647	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	328	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.237531455810769	0.947703144161214	758	17807	4843	74011923.5382309	26
20231123 191033	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2855	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0483703032806942	0.821668461945239	715	27197	5021	74703534.7326337	27
20231123 191112	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	161	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.250664937088989	0.833072674468569	642	27290	4179	73643291.854073	28
20231123 191332	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2752	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0409311422142846	0.0235385493394775	346	27745	3322	68786519.7401299	29
20231123 191438	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	35	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.196474615664631	0.929092181487189	859	3603	5099	74056925.0374813	30
20231123 191547	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	575	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.254745337230542	0.255372322096583	131	29989	5580	70077171.4142929	31
20231123 191636	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	267	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.270627541272019	0.879251590903936	925	18707	5301	75110731.1344328	32
20231123 191715	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	54	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.233196062892665	0.832654893766922	898	11838	5492	73495690.1549225	33
